codigo_iccs,tipo,estado_civil,estatus_migratorio,edad,sexo,genero,nacionalidad,autoidentificacion_etnica,numero_detenciones,nivel_de_instruccion,condicion,movilizacion,tipo_arma,arma,Fecha_Detención,hora_detencion_aprehension,lugar,tipo_lugar,codigo_distrito,codigo_circuito,codigo_subcircuito,Zona,Subzona,nombre_distrito,nombre_circuito,nombre_subcircuito,codigo_provincia,codigo_canton,codigo_parroquia,nombre_provincia,Canton,nombre_parroquia,presunta_flagrancia,presunta_infraccion,Presunta_Subinfracción,presunta_modalidad
,DETENIDO,SOLTERO/A,NO APLICA,51,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/8/2024,21:00,TERMINAL TERRESTRE,TRANSPORTE,17D03,17D03C09,17D03C09S03,ZONA 9,DMQ,LA DELICIA,PONCIANO,PONCIANO 3,17,1701,170150,PICHINCHA,QUITO,QUITO,NO,BOLETAS,BOLETA DE DETENCIÓN/CAPTURA,SIN DATO
80900.02,APREHENDIDO,SOLTERO/A,SIN DATO,20,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,NORMAL,MOTOCICLETA,NINGUNA,NINGUNA,1/30/2024,13:00,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,13D02,13D02C10,13D02C10S04,ZONA 4,MANABI,MANTA,CUBA,CUBA 4,13,1308,130850,MANABI,MANTA,MANTA,SI,DELITOS CONTRA LA EFICIENCIA DE LA ADMINISTRACIÓN PÚBLICA,INCUMPLIMIENTO DE DECISIONES LEGÍTIMAS DE AUTORIDAD COMPETENTE,SIN DATO
20190.01,APREHENDIDO,SOLTERO/A,NO APLICA,23,HOMBRE,MASCULINO,COLOMBIANO,AFROECUATORIANO/A  AFRODESCENDIENTE,0,NO APLICA,"BAJO LOS EFECTOS DE SUSTANCIAS ESTUPEFACIENTES, PSICOTROPICAS O PREPARADOS QUE LAS CONTENGAN",SIN DATO,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),CUCHILLOS,1/8/2024,3:30,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,10D01,10D01C10,10D01C10S01,ZONA 1,IMBABURA,CIUDAD BLANCA,ESTADIO,ESTADIO 1,10,1001,100150,IMBABURA,IBARRA,SAN MIGUEL DE IBARRA,SI,DELITOS CONTRA LA EFICIENCIA DE LA ADMINISTRACIÓN PÚBLICA,ATAQUE O RESISTENCIA,SIN DATO
70490.03,DETENIDO,SOLTERO/A,REGULAR,34,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,NORMAL,AUTOMOVIL,NINGUNA,NINGUNA,1/18/2024,10:55,GASOLINERA,LUGARES QUE PRESTAN SERVICIOS,17D02,17D02C02,17D02C02S04,ZONA 9,DMQ,CALDERON,CALDERON,CALDERON 4,17,1701,170155,PICHINCHA,QUITO,CALDERON (CARAPUNGO),SI,DELITOS CONTRA EL DERECHO A LA PROPIEDAD,RECEPTACIÓN,SIN DATO
90700.01,APREHENDIDO,SOLTERO/A,SIN DATO,34,HOMBRE,MASCULINO,ECUATORIANO,MONTUBIO/A,0,SIN DATO,NORMAL,MOTOCICLETA,NINGUNA,NINGUNA,1/6/2024,11:40,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,12D06,12D06C07,12D06C07S01,ZONA 5,LOS RIOS,BUENA FE,LA NUEVA UNION,LA NUEVA UNION 1,12,1211,121150,LOS RIOS,VALENCIA,VALENCIA,SI,CONTRAVENCIONES DE TRÁNSITO,CONTRAVENCIONES DE TRÁNSITO DE PRIMERA CLASE,La persona que conduzca sin haber obtenido licencia.
20111.11,APREHENDIDO,CASADO/A,SIN DATO,32,HOMBRE,MASCULINO,CUBANO,SIN DATO,0,SIN DATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/10/2024,9:30,ESPACIO PRIVADO,ÁREA PRIVADA,17D05,17D05C01,17D05C01S03,ZONA 9,DMQ,EUGENIO ESPEJO,AEROPUERTO,AEROPUERTO 3,17,1701,170150,PICHINCHA,QUITO,QUITO,SI,DELITOS DE VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR,VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR,SIN DATO
10102.01,DETENIDO,SOLTERO/A,NO APLICA,24,HOMBRE,MASCULINO,ECUATORIANO,MONTUBIO/A,0,NO APLICA,NORMAL,A PIE,NINGUNA,NINGUNA,1/5/2024,21:30,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,11D01,11D01C09,11D01C09S01,ZONA 7,LOJA,LOJA,IV CENTENARIO,IV CENTENARIO 1,11,1101,110150,LOJA,LOJA,LOJA,NO,DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA,ASESINATO,SIN DATO
60124.01,APREHENDIDO,SOLTERO/A,SIN DATO,29,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/21/2024,10:30,ESPACIO PRIVADO,ÁREA PRIVADA,09D21,09D21C01,09D21C01S01,ZONA 5,GUAYAS,YAGUACHI,YAGUACHI SUR,YAGUACHI SUR 1,9,920,92050,GUAYAS,SAN JACINTO DE YAGUACHI,SAN JACINTO DE YAGUACHI,SI,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,SIN DATO
110900.06,APREHENDIDO,SIN DATO,SIN DATO,,MUJER,FEMENINO,COLOMBIANO,MESTIZO/A,0,SIN DATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/21/2024,19:00,CRS FEMENINO-GUAYAQUIL,CENTRO DE REHABILITACIÓN SOCIAL (CRS),09D07,09D07C07,09D07C07S02,ZONA 8,DMG,PASCUALES,SAN FRANCISCO,SAN FRANCISCO 2,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,SI,CONTRAVENCIONES,CONTRAVENCIONES DE CUARTA CLASE,"4. La persona que voluntariamente hiera o golpee a otro, causándole lesiones o incapacidad para el trabajo, que no excedan de tres días."
,APREHENDIDO,SOLTERO/A,REGULAR,35,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/31/2024,10:30,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,06D01,06D01C07,06D01C07S01,ZONA 3,CHIMBORAZO,RIOBAMBA,SAN ALFONSO,SAN ALFONSO 1,6,601,60150,CHIMBORAZO,RIOBAMBA,RIOBAMBA,SI,DELITOS CONTRA EL DERECHO A LA PROPIEDAD,"ROBO DE BIENES, ACCESORIO Y AUTOPARTES DE VEHÍCULOS",ESTRUCHE
70490.03,DETENIDO,CASADO/A,REGULAR,42,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/7/2024,2:00,CASA/VILLA,VIVIENDA/ALOJAMIENTO,12D06,12D06C04,12D06C04S01,ZONA 5,LOS RIOS,BUENA FE,BUENA FE ESTE,BUENA FE ESTE 1,12,1210,121050,LOS RIOS,BUENA FE,SAN JACINTO DE BUENA FE,SI,DELITOS CONTRA EL DERECHO A LA PROPIEDAD,RECEPTACIÓN,SIN DATO
90111.03,APREHENDIDO,SOLTERO/A,SIN DATO,44,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,ALIENTO A LICOR,A PIE,ARMAS DE FUEGO,PISTOLAS,1/28/2024,0:40,ESPACIO PRIVADO,ÁREA PRIVADA,09D07,09D07C06,09D07C06S02,ZONA 8,DMG,PASCUALES,PASCUALES,PASCUALES 2,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,SI,DELITOS CONTRA LA SEGURIDAD PÚBLICA,TENENCIA Y PORTE DE ARMAS,SIN DATO
60124.01,APREHENDIDO,SOLTERO/A,NO APLICA,42,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,A PIE,NINGUNA,NINGUNA,1/4/2024,17:15,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,17D04,17D04C05,17D04C05S03,ZONA 9,DMQ,MANUELA SAENZ,EL PLACER,EL PLACER 3,17,1701,170150,PICHINCHA,QUITO,QUITO,SI,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,SIN DATO
60124.01,APREHENDIDO,SOLTERO/A,NO APLICA,42,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,A PIE,NINGUNA,NINGUNA,1/23/2024,15:45,PARQUE Y PLAZA,ÁREAS DE ACCESO PUBLICO,17D05,17D05C10,17D05C10S03,ZONA 9,DMQ,EUGENIO ESPEJO,IÑAQUITO,IÑAQUITO 3,17,1701,170150,PICHINCHA,QUITO,QUITO,SI,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,SIN DATO
60124.01,APREHENDIDO,SOLTERO/A,SIN DATO,24,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,NORMAL,LANCHA,NINGUNA,NINGUNA,1/27/2024,8:30,ESPACIO PRIVADO,ÁREA PRIVADA,08D06,08D06C01,08D06C01S03,ZONA 1,ESMERALDAS,RIO VERDE,PALESTINA,PALESTINA 3,8,807,80752,ESMERALDAS,RIOVERDE,CHUMUNDE,SI,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,SIN DATO
20721.02,APREHENDIDO,CASADO/A,NO APLICA,33,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,ALIENTO A LICOR,SIN DATO,NINGUNA,NINGUNA,1/21/2024,20:33,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,06D05,06D05C02,06D05C02S01,ZONA 3,CHIMBORAZO,GUANO,GUANO,GUANO 1,6,607,60750,CHIMBORAZO,GUANO,GUANO,SI,CONTRAVENCIONES DE TRÁNSITO,CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ,SUPERA 1.2 GRAMOS
90113,APREHENDIDO,SIN DATO,SIN DATO,25,HOMBRE,MASCULINO,VENEZOLANO,MESTIZO/A,0,SIN DATO,SIN DATO,SIN DATO,NINGUNA,NINGUNA,1/23/2024,18:00,ESPACIO PRIVADO,ÁREA PRIVADA,12D03,12D03C03,12D03C03S01,ZONA 5,LOS RIOS,QUEVEDO,LA VALDRAMINA,LA VALDRAMINA 1,12,1205,120550,LOS RIOS,QUEVEDO,QUEVEDO,SI,DELITOS CONTRA LA SEGURIDAD PÚBLICA,"TRÁFICO ILÍCITO DE ARMAS DE FUEGO, ARMAS QUÍMICAS, NUCLEARES O BIOLÓGICAS",SIN DATO
90113,APREHENDIDO,SOLTERO/A,SIN DATO,29,HOMBRE,MASCULINO,ECUATORIANO,SIN DATO,0,SIN DATO,NORMAL,SIN DATO,ARMAS DE FUEGO,OTROS,1/22/2024,15:30,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,13D07,13D07C01,13D07C01S01,ZONA 4,MANABI,CHONE,BEJUCO,BEJUCO 1,13,1303,130350,MANABI,CHONE,CHONE,SI,DELITOS CONTRA LA SEGURIDAD PÚBLICA,"TRÁFICO ILÍCITO DE ARMAS DE FUEGO, ARMAS QUÍMICAS, NUCLEARES O BIOLÓGICAS",SIN DATO
20510,APREHENDIDO,SOLTERO/A,SIN DATO,25,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,A PIE,NINGUNA,NINGUNA,1/28/2024,22:30,CASA/VILLA,VIVIENDA/ALOJAMIENTO,09D11,09D11C02,09D11C02S02,ZONA 5,GUAYAS,JUJAN SIMON BOLIVAR,JUJAN OESTE,JUJAN OESTE 2,9,902,90250,GUAYAS,ALFREDO BAQUERIZO MORENO,ALFREDO BAQUERIZO MORENO (JUJAN),SI,DELITOS CONTRA EL DERECHO A LA PROPIEDAD,EXTORSIÓN,SIN DATO
10102.04,APREHENDIDO,SOLTERO/A,REGULAR,40,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,A PIE,NINGUNA,NINGUNA,1/3/2024,5:00,CASA/VILLA,VIVIENDA/ALOJAMIENTO,17D07,17D07C06,17D07C06S01,ZONA 9,DMQ,QUITUMBE,ECUATORIANA,ECUATORIANA 1,17,1701,170150,PICHINCHA,QUITO,QUITO,SI,DELITOS CONTRA LA INTEGRIDAD SEXUAL Y REPRODUCTIVA,VIOLACIÓN,SIN DATO
80900.02,APREHENDIDO,SOLTERO/A,SIN DATO,22,MUJER,FEMENINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,CAMIONETA,NINGUNA,NINGUNA,1/29/2024,1:30,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,13D02,13D02C19,13D02C19S02,ZONA 4,MANABI,MANTA,MONTECRISTI,MONTECRISTI 2,13,1309,130950,MANABI,MONTECRISTI,MONTECRISTI,NO,DELITOS CONTRA LA EFICIENCIA DE LA ADMINISTRACIÓN PÚBLICA,INCUMPLIMIENTO DE DECISIONES LEGÍTIMAS DE AUTORIDAD COMPETENTE,SIN DATO
60124.01,APREHENDIDO,SOLTERO/A,NO APLICA,23,MUJER,FEMENINO,ECUATORIANO,MESTIZO/A,0,BACHILLERATO,NORMAL,SIN DATO,NINGUNA,NINGUNA,1/13/2024,23:15,MEDIAGUA,VIVIENDA/ALOJAMIENTO,17D06,17D06C01,17D06C01S02,ZONA 9,DMQ,ELOY ALFARO,CHILIBULO,CHILIBULO 2,17,1701,170150,PICHINCHA,QUITO,QUITO,SI,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN,SIN DATO
80900.02,DETENIDO,DIVORCIADO/A,SIN DATO,52,HOMBRE,MASCULINO,PERUANO,BLANCO/A,0,SIN DATO,ALIENTO A LICOR,A PIE,NINGUNA,NINGUNA,1/17/2024,23:25,CASA/VILLA,VIVIENDA/ALOJAMIENTO,14D01,14D01C05,14D01C05S01,ZONA 6,MORONA SANTIAGO,MORONA,MACAS,MACAS 1,14,1401,140150,MORONA SANTIAGO,MORONA,MACAS,SI,DELITOS CONTRA LA EFICIENCIA DE LA ADMINISTRACIÓN PÚBLICA,INCUMPLIMIENTO DE DECISIONES LEGÍTIMAS DE AUTORIDAD COMPETENTE,SIN DATO
50900.05,APREHENDIDO,SOLTERO/A,NO APLICA,19,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,TERCER NIVEL TÉCNICO-TECNOLÓGICO Y DE GRADO,ALIENTO A LICOR,A PIE,NINGUNA,NINGUNA,1/1/2024,22:30,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,02D01,02D01C03,02D01C03S01,ZONA 5,BOLIVAR,GUARANDA,GUANUJO,GUANUJO 1,2,201,20150,BOLIVAR,GUARANDA,GUARANDA,SI,DELITOS CONTRA EL DERECHO A LA INTIMIDAD PERSONAL Y FAMILIAR,VIOLACIÓN DE PROPIEDAD PRIVADA,SIN DATO
110900.04,APREHENDIDO,SOLTERO/A,SIN DATO,33,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,SIN DATO,SIN DATO,NINGUNA,NINGUNA,1/10/2024,13:40,ESPACIO PRIVADO,ÁREA PRIVADA,11D03,11D03C02,11D03C02S01,ZONA 7,LOJA,CATACOCHA,YAMANA,YAMANA 1,11,1109,110959,LOJA,PALTAS,YAMANA,SI,CONTRAVENCIONES,CONTRAVENCIONES DE SEGUNDA CLASE,"2. La persona que maltratare, insulte o agreda de obra a los agentes encargados de precautelar el orden público en el ejercicio de sus funciones."
,DETENIDO,DIVORCIADO/A,NO APLICA,74,MUJER,FEMENINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,SIN DATO,NINGUNA,NINGUNA,1/11/2024,15:30,ESPACIO PRIVADO,ÁREA PRIVADA,11D03,11D03C01,11D03C01S01,ZONA 7,LOJA,CATACOCHA,CATACOCHA,CATACOCHA 1,11,1109,110950,LOJA,PALTAS,CATACOCHA,NO,BOLETAS,BOLETA DE AUXILIO,SIN DATO
40140,DETENIDO,SOLTERO/A,NO APLICA,52,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,SIN DATO,NINGUNA,NINGUNA,1/6/2024,19:00,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,07D02,07D02C21,07D02C21S01,ZONA 7,EL ORO,MACHALA,EL RETIRO,EL RETIRO 1,7,701,70152,EL ORO,MACHALA,EL RETIRO,NO,DELITOS CONTRA EL DERECHO A LA PROPIEDAD,ABIGEATO,CUATREROS
,APREHENDIDO,SOLTERO/A,SIN DATO,43,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/19/2024,20:25,VÍA PÚBLICA,ÁREAS DE ACCESO PUBLICO,23D01,23D01C06,23D01C06S01,ZONA 4,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO ESTE,UNIFICADOS,UNIFICADOS 1,23,2301,230150,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,SANTO DOMINGO DE LOS COLORADOS,NO,BOLETAS,BOLETA DE APREMIO,SIN DATO
,APREHENDIDO,SOLTERO/A,SIN DATO,43,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,NO APLICA,NORMAL,SIN DATO,NINGUNA,NINGUNA,1/10/2024,10:00,ESPACIO PRIVADO,ÁREA PRIVADA,07D05,07D05C06,07D05C06S03,ZONA 7,EL ORO,HUAQUILLAS,HUALTACO,HUALTACO 3,7,707,70750,EL ORO,HUAQUILLAS,HUAQUILLAS,SI,"DELITOS CONTRA LA ACTIVIDAD HIDROCARBURÍFERA, DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO Y BIOCOMBUSTIBLES","ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL O MAL USO DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",SIN DATO
90111.03,APREHENDIDO,SOLTERO/A,SIN DATO,21,HOMBRE,MASCULINO,ECUATORIANO,MESTIZO/A,0,BACHILLERATO,NORMAL,A PIE,ARMAS DE FUEGO,REVÓLVER,1/31/2024,14:00,CASA/VILLA,VIVIENDA/ALOJAMIENTO,12D04,12D04C07,12D04C07S01,ZONA 5,LOS RIOS,VENTANAS,QUINSALOMA,QUINSALOMA 1,12,1213,121350,LOS RIOS,QUINSALOMA,QUINSALOMA,SI,DELITOS CONTRA LA SEGURIDAD PÚBLICA,TENENCIA Y PORTE DE ARMAS,SIN DATO
10102.01,APREHENDIDO,SOLTERO/A,NO APLICA,19,MUJER,FEMENINO,ECUATORIANO,MESTIZO/A,0,SIN DATO,NORMAL,A PIE,NINGUNA,NINGUNA,1/2/2024,5:00,CASA/VILLA,VIVIENDA/ALOJAMIENTO,18D01,18D01C02,18D01C02S01,ZONA 3,TUNGURAHUA,AMBATO NORTE,JARDIN AMBATEÑO,JARDIN AMBATEÐO 1,18,1801,180150,TUNGURAHUA,AMBATO,AMBATO,SI,DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA,ASESINATO,SIN DATO
